id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
482818,Female,37,1,28.0,0,1-2 Year,Yes,43664.0,26.0,189
482819,Male,61,1,28.0,0,1-2 Year,Yes,2630.0,139.0,54
482820,Female,40,1,30.0,1,1-2 Year,No,29535.0,152.0,74
482821,Male,44,1,47.0,0,1-2 Year,Yes,30653.0,124.0,274
482822,Male,42,1,3.0,0,1-2 Year,Yes,55871.0,154.0,124
482823,Male,41,1,28.0,0,1-2 Year,Yes,2630.0,160.0,130
482824,Male,42,1,28.0,0,1-2 Year,Yes,34944.0,26.0,92
482825,Male,21,1,47.0,0,< 1 Year,Yes,30937.0,152.0,53
482826,Female,69,1,28.0,1,1-2 Year,No,48023.0,26.0,23
482827,Male,23,1,44.0,1,< 1 Year,No,27474.0,152.0,248
482828,Male,25,1,15.0,1,< 1 Year,Yes,30952.0,152.0,181
482829,Female,23,1,11.0,1,< 1 Year,No,82353.0,152.0,195
482830,Female,69,1,28.0,1,1-2 Year,No,54589.0,122.0,247
482831,Female,23,1,37.0,0,< 1 Year,No,30984.0,151.0,175
482832,Male,20,1,28.0,0,< 1 Year,Yes,2630.0,156.0,175
482833,Female,41,1,28.0,1,1-2 Year,No,42559.0,29.0,248
482834,Female,62,1,28.0,0,> 2 Years,Yes,25630.0,122.0,209
482835,Female,42,1,0.0,0,1-2 Year,Yes,2630.0,26.0,209
482836,Female,21,1,15.0,0,< 1 Year,No,2630.0,160.0,52
482837,Female,77,1,48.0,0,1-2 Year,Yes,2630.0,124.0,194
482838,Female,44,1,28.0,0,1-2 Year,Yes,49039.0,124.0,258
482839,Female,65,1,46.0,1,1-2 Year,No,29205.0,26.0,147
482840,Female,49,1,28.0,0,1-2 Year,Yes,31704.0,26.0,87
482841,Female,21,1,8.0,1,< 1 Year,No,38750.0,160.0,170
482842,Male,24,1,2.0,1,< 1 Year,No,38032.0,152.0,294
482843,Male,24,1,7.0,1,< 1 Year,No,92428.0,152.0,207
482844,Male,26,1,1.0,0,1-2 Year,Yes,2630.0,156.0,44
482845,Male,64,1,46.0,1,1-2 Year,No,2630.0,124.0,68
482846,Male,21,1,46.0,1,< 1 Year,No,18432.0,160.0,153
482847,Female,22,1,7.0,1,< 1 Year,No,33087.0,152.0,81
482848,Male,33,1,47.0,0,1-2 Year,Yes,34737.0,124.0,253
482849,Male,24,1,2.0,1,< 1 Year,No,24667.0,152.0,104
482850,Female,41,1,28.0,0,1-2 Year,Yes,43173.0,13.0,224
482851,Female,20,1,29.0,1,< 1 Year,No,2630.0,160.0,286
482852,Male,52,1,19.0,0,1-2 Year,Yes,34338.0,124.0,157
482853,Female,29,1,29.0,0,< 1 Year,Yes,38151.0,152.0,220
482854,Female,28,1,6.0,1,< 1 Year,No,39179.0,152.0,48
482855,Female,56,1,28.0,0,1-2 Year,Yes,31863.0,122.0,60
482856,Male,40,1,41.0,0,1-2 Year,Yes,2630.0,156.0,152
482857,Female,39,1,28.0,0,1-2 Year,Yes,44696.0,26.0,100
482858,Female,23,1,24.0,0,< 1 Year,Yes,2630.0,152.0,50
482859,Female,61,1,28.0,0,1-2 Year,Yes,2630.0,26.0,88
482860,Male,55,1,46.0,0,1-2 Year,Yes,37403.0,26.0,15
482861,Male,51,1,28.0,0,1-2 Year,Yes,31580.0,26.0,140
482862,Female,25,1,46.0,1,< 1 Year,No,2630.0,152.0,103
482863,Male,37,1,8.0,0,> 2 Years,Yes,26053.0,154.0,24
482864,Female,46,1,28.0,1,1-2 Year,No,49641.0,124.0,215
482865,Male,24,1,50.0,1,< 1 Year,No,25864.0,152.0,155
482866,Female,31,1,28.0,0,1-2 Year,Yes,2630.0,156.0,95
482867,Male,61,1,8.0,0,1-2 Year,Yes,40371.0,124.0,44
482868,Male,46,1,41.0,0,1-2 Year,Yes,50126.0,26.0,263
482869,Female,21,1,9.0,1,< 1 Year,No,34400.0,152.0,179
482870,Male,65,1,29.0,1,1-2 Year,No,2630.0,124.0,215
482871,Female,45,1,28.0,0,> 2 Years,Yes,39645.0,26.0,108
482872,Female,28,1,41.0,1,< 1 Year,No,28673.0,152.0,47
482873,Male,28,1,35.0,1,< 1 Year,No,27436.0,152.0,207
482874,Male,43,1,48.0,0,1-2 Year,Yes,2630.0,124.0,21
482875,Female,32,1,28.0,0,< 1 Year,Yes,30052.0,124.0,137
482876,Male,38,1,41.0,0,1-2 Year,Yes,30380.0,124.0,284
482877,Male,49,1,47.0,0,1-2 Year,No,26542.0,26.0,217
482878,Female,22,1,8.0,0,< 1 Year,Yes,57921.0,152.0,53
482879,Male,60,1,30.0,0,1-2 Year,No,30528.0,26.0,129
482880,Male,48,1,11.0,0,1-2 Year,Yes,2630.0,124.0,223
482881,Female,65,1,29.0,0,1-2 Year,Yes,34146.0,26.0,241
482882,Male,23,1,35.0,0,< 1 Year,Yes,24442.0,152.0,289
482883,Female,41,1,28.0,1,1-2 Year,No,46577.0,122.0,67
482884,Female,57,1,20.0,1,1-2 Year,No,2630.0,133.0,65
482885,Female,31,1,18.0,1,< 1 Year,No,33151.0,152.0,211
482886,Male,28,1,30.0,0,< 1 Year,Yes,56207.0,152.0,161
482887,Female,29,1,8.0,0,1-2 Year,Yes,43612.0,154.0,11
482888,Female,57,1,11.0,0,1-2 Year,Yes,27349.0,26.0,132
482889,Female,74,1,28.0,1,1-2 Year,Yes,32342.0,26.0,86
482890,Female,26,1,28.0,1,< 1 Year,No,32312.0,152.0,178
482891,Female,21,1,11.0,1,< 1 Year,Yes,21398.0,152.0,36
482892,Male,50,1,28.0,0,1-2 Year,Yes,32137.0,26.0,116
482893,Male,44,1,13.0,0,1-2 Year,Yes,23287.0,124.0,194
482894,Male,48,1,28.0,0,> 2 Years,Yes,46685.0,26.0,46
482895,Female,42,1,8.0,1,1-2 Year,No,24273.0,124.0,196
482896,Female,24,1,28.0,1,< 1 Year,No,54033.0,152.0,85
482897,Male,64,1,29.0,0,1-2 Year,Yes,48522.0,26.0,131
482898,Male,23,1,28.0,1,< 1 Year,Yes,47267.0,152.0,158
482899,Female,26,1,14.0,1,< 1 Year,No,21369.0,152.0,271
482900,Female,20,1,50.0,0,< 1 Year,Yes,29258.0,160.0,21
482901,Male,72,1,41.0,0,1-2 Year,Yes,46438.0,26.0,173
482902,Female,48,1,28.0,1,1-2 Year,No,47293.0,26.0,253
482903,Female,25,1,8.0,1,< 1 Year,No,2630.0,152.0,81
482904,Male,33,1,28.0,1,< 1 Year,Yes,2630.0,163.0,66
482905,Female,60,1,28.0,0,1-2 Year,Yes,64254.0,26.0,217
482906,Female,24,1,45.0,0,< 1 Year,Yes,25713.0,151.0,86
482907,Female,29,1,30.0,1,< 1 Year,No,23354.0,152.0,118
482908,Male,57,1,28.0,0,> 2 Years,Yes,64311.0,124.0,164
482909,Female,75,1,28.0,1,1-2 Year,Yes,65051.0,122.0,156
482910,Male,46,1,28.0,0,1-2 Year,Yes,27895.0,26.0,244
482911,Female,22,1,25.0,0,< 1 Year,Yes,16133.0,152.0,42
482912,Female,24,1,8.0,0,< 1 Year,No,2630.0,152.0,206
482913,Male,66,1,41.0,1,1-2 Year,No,50254.0,12.0,266
482914,Female,38,1,9.0,1,1-2 Year,No,35434.0,152.0,83
482915,Female,34,1,33.0,1,1-2 Year,No,2630.0,152.0,217
482916,Male,52,1,28.0,0,1-2 Year,Yes,53488.0,26.0,125
482917,Male,26,1,46.0,0,< 1 Year,Yes,2630.0,157.0,123
482918,Male,43,1,48.0,0,1-2 Year,Yes,2630.0,155.0,159
482919,Male,23,1,28.0,0,< 1 Year,No,91505.0,152.0,97
482920,Female,23,1,28.0,0,< 1 Year,Yes,34348.0,152.0,298
482921,Male,23,1,28.0,0,< 1 Year,Yes,28709.0,160.0,139
482922,Male,50,1,8.0,0,1-2 Year,Yes,49723.0,124.0,31
482923,Female,49,1,8.0,0,1-2 Year,Yes,48408.0,124.0,16
482924,Female,50,1,46.0,0,1-2 Year,Yes,2630.0,157.0,213
482925,Female,23,1,8.0,1,< 1 Year,No,57039.0,151.0,159
482926,Female,59,1,35.0,0,1-2 Year,Yes,46400.0,26.0,210
482927,Male,54,1,28.0,0,1-2 Year,Yes,56821.0,122.0,16
482928,Female,25,1,30.0,1,< 1 Year,No,31026.0,152.0,231
482929,Male,24,1,37.0,1,< 1 Year,No,35332.0,152.0,230
482930,Female,23,1,45.0,0,< 1 Year,Yes,23267.0,152.0,78
482931,Female,41,1,3.0,0,1-2 Year,Yes,46298.0,124.0,201
482932,Male,81,1,30.0,1,1-2 Year,Yes,39151.0,26.0,31
482933,Female,70,1,8.0,1,1-2 Year,No,106112.0,122.0,94
482934,Female,25,1,18.0,1,< 1 Year,No,46980.0,152.0,126
482935,Male,47,1,28.0,1,1-2 Year,No,37394.0,124.0,260
482936,Male,22,1,41.0,1,< 1 Year,No,20404.0,152.0,51
482937,Female,69,1,22.0,1,1-2 Year,No,2630.0,156.0,152
482938,Female,32,1,28.0,1,< 1 Year,No,24724.0,154.0,11
482939,Male,23,1,47.0,0,< 1 Year,No,28302.0,26.0,38
482940,Male,35,1,29.0,1,1-2 Year,No,25971.0,152.0,285
482941,Male,42,1,0.0,0,1-2 Year,Yes,2630.0,26.0,95
482942,Female,30,1,28.0,0,< 1 Year,Yes,46401.0,152.0,55
482943,Female,22,1,3.0,1,< 1 Year,No,33988.0,152.0,85
482944,Male,66,1,39.0,1,1-2 Year,No,37008.0,26.0,179
482945,Male,24,1,8.0,1,< 1 Year,No,33770.0,152.0,15
482946,Female,22,1,50.0,1,< 1 Year,No,31755.0,160.0,93
482947,Female,24,1,28.0,1,< 1 Year,No,32167.0,153.0,112
482948,Male,42,1,46.0,0,1-2 Year,No,2630.0,156.0,189
482949,Male,45,1,30.0,0,1-2 Year,Yes,2630.0,124.0,287
482950,Female,25,1,25.0,0,< 1 Year,No,30667.0,152.0,98
482951,Male,47,1,28.0,0,1-2 Year,Yes,34924.0,124.0,51
482952,Female,26,1,15.0,0,< 1 Year,No,36935.0,152.0,88
482953,Male,35,1,28.0,0,1-2 Year,No,36526.0,124.0,296
482954,Male,38,1,46.0,0,1-2 Year,Yes,42485.0,124.0,105
482955,Male,33,1,29.0,1,< 1 Year,No,34991.0,152.0,228
482956,Female,23,1,15.0,1,< 1 Year,No,2630.0,152.0,37
482957,Female,61,1,28.0,1,1-2 Year,Yes,43966.0,26.0,296
482958,Female,25,1,3.0,0,< 1 Year,Yes,27547.0,152.0,15
482959,Female,21,1,11.0,1,< 1 Year,No,31439.0,152.0,214
482960,Female,33,1,50.0,1,< 1 Year,No,2630.0,160.0,153
482961,Female,25,1,15.0,1,< 1 Year,No,29699.0,152.0,71
482962,Male,57,1,3.0,0,1-2 Year,Yes,15349.0,124.0,181
482963,Female,42,1,28.0,0,1-2 Year,Yes,51499.0,124.0,278
482964,Male,51,1,28.0,1,1-2 Year,No,32498.0,26.0,100
482965,Male,26,1,30.0,1,1-2 Year,Yes,51850.0,154.0,27
482966,Male,29,1,35.0,0,< 1 Year,Yes,23950.0,152.0,165
482967,Male,24,1,26.0,1,< 1 Year,No,49326.0,152.0,133
482968,Female,22,1,50.0,1,< 1 Year,No,38728.0,152.0,102
482969,Male,65,1,8.0,0,1-2 Year,Yes,50250.0,26.0,190
482970,Male,61,1,8.0,0,> 2 Years,Yes,62700.0,26.0,17
482971,Male,28,1,52.0,0,1-2 Year,No,2630.0,156.0,109
482972,Male,30,1,8.0,1,< 1 Year,No,29043.0,160.0,81
482973,Male,32,1,38.0,0,1-2 Year,Yes,16351.0,124.0,70
482974,Male,51,1,29.0,0,1-2 Year,Yes,2630.0,30.0,290
482975,Female,25,1,28.0,0,< 1 Year,Yes,45014.0,152.0,90
482976,Male,24,1,9.0,0,1-2 Year,Yes,30403.0,163.0,70
482977,Male,49,1,28.0,0,1-2 Year,Yes,27525.0,47.0,109
482978,Female,50,1,41.0,1,1-2 Year,No,32802.0,124.0,63
482979,Female,45,1,28.0,0,1-2 Year,Yes,81018.0,26.0,153
482980,Male,55,1,31.0,1,1-2 Year,No,2630.0,26.0,45
482981,Male,25,1,24.0,0,< 1 Year,No,24719.0,152.0,135
482982,Female,24,1,15.0,1,< 1 Year,Yes,61151.0,152.0,199
482983,Female,22,1,8.0,0,< 1 Year,No,36093.0,152.0,10
482984,Male,71,1,28.0,0,1-2 Year,Yes,32974.0,26.0,123
482985,Female,33,1,46.0,0,< 1 Year,Yes,38862.0,152.0,36
482986,Male,25,1,17.0,1,< 1 Year,No,34660.0,152.0,61
482987,Female,45,1,41.0,0,1-2 Year,Yes,34355.0,157.0,75
482988,Female,22,1,28.0,1,< 1 Year,No,37741.0,152.0,78
482989,Female,24,1,41.0,1,< 1 Year,No,29384.0,152.0,228
482990,Female,30,1,15.0,1,< 1 Year,No,34881.0,152.0,56
482991,Male,31,1,9.0,0,< 1 Year,Yes,2630.0,152.0,193
482992,Female,44,1,28.0,1,1-2 Year,No,45360.0,52.0,225
482993,Female,22,1,15.0,1,< 1 Year,No,27479.0,152.0,45
482994,Female,23,1,10.0,0,< 1 Year,Yes,23222.0,151.0,25
482995,Female,25,1,33.0,1,< 1 Year,No,29480.0,152.0,280
482996,Male,38,1,29.0,0,1-2 Year,Yes,30465.0,124.0,184
482997,Female,21,1,41.0,1,< 1 Year,No,28247.0,160.0,80
482998,Female,45,1,28.0,0,1-2 Year,Yes,29675.0,124.0,185
482999,Male,61,1,20.0,0,1-2 Year,Yes,2630.0,124.0,82
483000,Female,24,1,28.0,0,< 1 Year,Yes,39460.0,152.0,13
483001,Female,45,1,28.0,0,> 2 Years,Yes,52676.0,26.0,14
483002,Male,69,1,28.0,0,> 2 Years,Yes,46801.0,26.0,142
483003,Female,48,1,8.0,0,1-2 Year,Yes,20216.0,124.0,183
483004,Male,22,1,30.0,1,< 1 Year,Yes,2630.0,152.0,185
483005,Female,29,1,50.0,1,1-2 Year,No,40515.0,18.0,60
483006,Male,40,1,28.0,0,1-2 Year,Yes,26566.0,26.0,132
483007,Male,26,1,37.0,0,1-2 Year,Yes,32469.0,154.0,119
483008,Female,25,1,10.0,1,< 1 Year,No,43317.0,152.0,253
483009,Female,22,1,37.0,1,< 1 Year,No,38949.0,152.0,76
483010,Female,30,1,12.0,0,1-2 Year,Yes,35259.0,155.0,254
483011,Female,46,1,37.0,1,1-2 Year,No,49435.0,125.0,69
483012,Female,26,1,28.0,1,< 1 Year,No,47630.0,152.0,81
483013,Female,72,1,28.0,0,1-2 Year,Yes,40640.0,26.0,299
483014,Female,50,1,28.0,0,1-2 Year,Yes,42661.0,26.0,183
483015,Female,26,1,37.0,1,< 1 Year,No,32782.0,152.0,241
483016,Male,23,1,16.0,1,< 1 Year,No,19261.0,152.0,230
483017,Female,80,1,28.0,1,1-2 Year,No,34253.0,26.0,62
483018,Male,63,1,28.0,0,1-2 Year,Yes,54007.0,124.0,157
483019,Male,45,1,35.0,1,1-2 Year,No,27327.0,26.0,266
483020,Female,20,1,50.0,0,< 1 Year,Yes,38370.0,160.0,262
483021,Male,48,1,28.0,0,< 1 Year,Yes,148945.0,26.0,161
483022,Male,57,1,8.0,0,1-2 Year,Yes,29917.0,154.0,99
483023,Female,41,1,8.0,0,1-2 Year,Yes,38665.0,124.0,261
483024,Female,24,1,37.0,0,< 1 Year,Yes,28312.0,152.0,31
483025,Male,40,1,31.0,1,1-2 Year,No,2630.0,156.0,125
483026,Female,44,1,7.0,0,1-2 Year,Yes,36753.0,124.0,205
483027,Male,23,1,6.0,1,< 1 Year,No,24371.0,152.0,258
483028,Female,20,1,13.0,0,< 1 Year,Yes,2630.0,160.0,115
483029,Male,25,1,8.0,1,< 1 Year,No,48639.0,152.0,188
483030,Male,27,1,28.0,1,< 1 Year,No,39136.0,152.0,291
483031,Male,55,1,3.0,0,1-2 Year,Yes,2630.0,163.0,273
483032,Male,41,1,41.0,0,1-2 Year,No,41191.0,109.0,235
483033,Male,40,1,49.0,1,1-2 Year,No,37892.0,124.0,237
483034,Male,76,1,28.0,1,1-2 Year,No,36743.0,122.0,83
483035,Female,35,1,41.0,1,1-2 Year,No,24300.0,152.0,48
483036,Male,25,1,15.0,0,< 1 Year,Yes,30983.0,152.0,180
483037,Female,24,1,27.0,0,< 1 Year,No,24064.0,152.0,182
483038,Male,70,1,28.0,1,1-2 Year,No,57945.0,124.0,163
483039,Male,31,1,12.0,1,1-2 Year,No,25054.0,124.0,40
483040,Female,38,1,38.0,0,1-2 Year,Yes,31043.0,124.0,73
483041,Female,43,1,28.0,0,1-2 Year,Yes,52368.0,26.0,91
483042,Female,24,1,46.0,1,< 1 Year,No,32784.0,152.0,134
483043,Male,24,1,28.0,0,< 1 Year,No,28951.0,160.0,200
483044,Female,30,1,35.0,1,< 1 Year,No,2630.0,152.0,44
483045,Male,21,1,33.0,0,< 1 Year,No,38333.0,152.0,289
483046,Male,69,1,28.0,0,1-2 Year,No,53977.0,24.0,274
483047,Female,24,1,8.0,1,< 1 Year,No,47360.0,152.0,160
483048,Male,26,1,28.0,1,< 1 Year,No,38558.0,152.0,231
483049,Male,24,1,27.0,0,< 1 Year,No,32376.0,152.0,106
483050,Female,44,1,30.0,1,1-2 Year,No,24826.0,26.0,64
483051,Female,26,1,41.0,1,< 1 Year,No,34291.0,152.0,12
483052,Female,24,1,6.0,1,< 1 Year,No,26305.0,152.0,10
483053,Male,50,1,28.0,0,1-2 Year,Yes,45914.0,124.0,185
483054,Female,27,1,11.0,1,< 1 Year,No,2630.0,152.0,21
483055,Male,26,1,28.0,0,< 1 Year,Yes,43357.0,152.0,36
483056,Female,23,1,37.0,1,< 1 Year,Yes,39496.0,160.0,150
483057,Female,28,1,2.0,1,< 1 Year,No,36475.0,152.0,184
483058,Female,25,1,28.0,0,< 1 Year,Yes,59913.0,152.0,137
483059,Female,53,1,28.0,0,1-2 Year,No,38570.0,124.0,184
483060,Male,23,1,47.0,0,< 1 Year,No,35112.0,152.0,298
483061,Female,24,1,8.0,1,< 1 Year,No,41694.0,152.0,156
483062,Male,42,1,36.0,0,1-2 Year,Yes,31586.0,150.0,212
483063,Male,55,1,20.0,0,1-2 Year,Yes,2630.0,26.0,155
483064,Female,26,1,21.0,1,< 1 Year,No,27945.0,152.0,141
483065,Female,25,1,45.0,1,< 1 Year,No,30638.0,151.0,42
483066,Male,24,1,6.0,1,< 1 Year,Yes,42574.0,152.0,262
483067,Male,70,1,28.0,0,1-2 Year,No,38794.0,61.0,182
483068,Male,39,1,28.0,1,1-2 Year,No,2630.0,124.0,123
483069,Male,21,1,30.0,0,< 1 Year,Yes,31527.0,152.0,208
483070,Male,44,1,46.0,1,1-2 Year,Yes,26189.0,124.0,135
483071,Female,69,1,28.0,0,1-2 Year,Yes,44191.0,124.0,278
483072,Male,24,1,47.0,0,< 1 Year,Yes,35758.0,152.0,268
483073,Female,24,1,8.0,1,< 1 Year,No,37924.0,152.0,126
483074,Female,46,1,28.0,0,> 2 Years,Yes,25256.0,122.0,156
483075,Female,44,1,11.0,0,1-2 Year,Yes,30847.0,124.0,155
483076,Male,28,1,28.0,1,< 1 Year,No,40719.0,152.0,280
483077,Male,65,1,49.0,0,1-2 Year,Yes,35344.0,124.0,21
483078,Female,24,1,6.0,1,< 1 Year,No,17125.0,152.0,164
483079,Female,38,1,28.0,0,1-2 Year,Yes,37413.0,26.0,299
483080,Male,35,1,10.0,1,1-2 Year,No,30370.0,152.0,203
483081,Male,37,1,3.0,0,> 2 Years,Yes,26032.0,124.0,177
483082,Male,50,1,30.0,0,1-2 Year,Yes,33101.0,124.0,86
483083,Male,41,1,28.0,1,1-2 Year,No,28921.0,26.0,276
483084,Female,28,1,28.0,0,< 1 Year,Yes,25326.0,163.0,184
483085,Female,25,1,50.0,1,< 1 Year,No,28458.0,152.0,120
483086,Female,42,1,8.0,0,1-2 Year,Yes,30986.0,124.0,238
483087,Female,22,1,21.0,1,< 1 Year,No,26486.0,152.0,131
483088,Female,22,1,23.0,1,< 1 Year,No,26786.0,152.0,122
483089,Female,56,1,8.0,1,1-2 Year,No,39961.0,124.0,160
483090,Male,49,1,50.0,1,1-2 Year,No,35737.0,26.0,44
483091,Male,24,1,25.0,1,< 1 Year,No,45327.0,152.0,293
483092,Female,78,1,28.0,0,> 2 Years,Yes,49214.0,26.0,139
483093,Male,40,1,4.0,0,1-2 Year,No,18237.0,26.0,148
483094,Female,45,1,8.0,0,1-2 Year,Yes,24269.0,26.0,216
483095,Male,23,1,41.0,0,< 1 Year,Yes,47583.0,152.0,63
483096,Male,28,1,46.0,1,< 1 Year,No,31606.0,152.0,283
483097,Female,45,1,28.0,1,1-2 Year,No,47110.0,122.0,76
483098,Male,20,1,34.0,0,< 1 Year,Yes,2630.0,160.0,255
483099,Male,51,1,35.0,0,1-2 Year,Yes,27812.0,124.0,79
483100,Male,25,1,7.0,1,< 1 Year,No,2630.0,160.0,219
483101,Male,51,1,33.0,0,1-2 Year,Yes,2630.0,26.0,118
483102,Male,25,1,2.0,1,< 1 Year,No,23718.0,152.0,182
483103,Male,26,1,6.0,1,< 1 Year,No,24724.0,152.0,208
483104,Female,21,1,15.0,1,< 1 Year,No,42515.0,152.0,179
483105,Female,52,1,28.0,0,> 2 Years,Yes,35593.0,26.0,218
483106,Male,48,1,36.0,1,1-2 Year,No,34769.0,3.0,196
483107,Male,22,1,45.0,1,< 1 Year,No,45928.0,152.0,204
