id,Gender,Age,Driving_License,Region_Code,Previously_Insured,Vehicle_Age,Vehicle_Damage,Annual_Premium,Policy_Sales_Channel,Vintage
381465,Female,42,1,8,0,1-2 Year,Yes,27635,7,288
381466,Male,23,1,3,1,< 1 Year,No,2630,152,238
381467,Male,28,1,41,0,< 1 Year,No,37686,152,268
381468,Female,61,1,28,1,1-2 Year,No,27227,26,217
381469,Male,70,1,28,0,1-2 Year,Yes,30421,26,62
381470,Female,78,1,28,0,> 2 Years,Yes,42781,26,187
381471,Male,22,1,3,0,< 1 Year,No,35250,152,227
381472,Male,50,1,35,0,1-2 Year,Yes,33696,124,249
381473,Male,57,1,28,0,1-2 Year,Yes,2630,26,106
381474,Male,30,1,15,1,< 1 Year,No,2630,152,134
381475,Male,40,1,41,0,1-2 Year,Yes,35030,26,219
381476,Male,32,1,33,0,< 1 Year,Yes,2630,160,240
381477,Female,40,1,11,1,1-2 Year,No,38475,124,162
381478,Female,38,1,41,1,1-2 Year,No,42006,124,269
381479,Male,40,1,28,0,1-2 Year,Yes,61984,26,84
381480,Male,27,1,8,1,< 1 Year,No,40255,152,70
381481,Male,59,1,19,0,> 2 Years,Yes,61868,26,86
381482,Male,46,1,18,0,1-2 Year,Yes,40500,124,36
381483,Female,34,1,30,1,< 1 Year,No,2630,152,231
381484,Male,59,1,33,0,1-2 Year,No,26028,124,240
381485,Male,23,1,15,0,< 1 Year,Yes,36276,152,287
381486,Female,53,1,8,1,1-2 Year,No,2630,25,256
381487,Female,56,1,28,0,1-2 Year,No,33641,26,40
381488,Male,25,1,28,1,< 1 Year,No,45469,152,162
381489,Male,36,1,9,0,1-2 Year,Yes,33321,124,78
381490,Female,48,1,28,0,1-2 Year,Yes,57851,124,198
381491,Male,62,1,11,0,1-2 Year,Yes,39505,26,164
381492,Male,43,1,28,0,> 2 Years,Yes,44402,26,148
381493,Female,25,1,41,1,< 1 Year,No,46805,152,234
381494,Male,54,1,6,1,1-2 Year,No,26663,26,127
381495,Female,22,1,28,1,< 1 Year,No,39153,152,42
381496,Female,56,1,8,0,1-2 Year,Yes,29119,26,170
381497,Male,32,1,47,1,1-2 Year,No,34953,124,138
381498,Male,24,1,41,1,< 1 Year,No,20375,152,147
381499,Male,22,1,1,0,< 1 Year,Yes,2630,152,277
381500,Female,30,1,8,0,< 1 Year,No,2630,152,236
381501,Female,40,1,28,0,1-2 Year,Yes,31817,26,202
381502,Male,68,1,23,1,1-2 Year,No,26048,26,299
381503,Female,25,1,13,1,< 1 Year,No,41473,152,192
381504,Female,30,1,30,1,< 1 Year,No,27828,152,132
381505,Female,23,1,49,1,< 1 Year,No,2630,160,157
381506,Male,51,1,28,1,1-2 Year,No,45840,26,58
381507,Male,24,1,28,0,< 1 Year,Yes,50117,124,291
381508,Male,40,1,3,1,1-2 Year,No,37958,152,261
381509,Male,44,1,8,0,1-2 Year,Yes,46536,124,233
381510,Female,42,1,28,0,1-2 Year,Yes,36349,124,189
381511,Female,45,1,28,0,1-2 Year,Yes,36121,124,19
381512,Female,43,1,28,1,1-2 Year,No,33907,26,280
381513,Male,44,1,4,0,1-2 Year,Yes,33594,31,229
381514,Female,36,1,41,0,1-2 Year,Yes,38735,124,250
381515,Female,34,1,28,0,1-2 Year,Yes,40969,24,238
381516,Female,28,1,35,1,< 1 Year,No,34533,160,90
381517,Male,62,1,28,0,> 2 Years,Yes,41531,13,156
381518,Female,67,1,28,0,> 2 Years,Yes,25929,26,79
381519,Male,41,1,28,0,1-2 Year,Yes,29990,26,28
381520,Male,49,1,35,0,1-2 Year,Yes,25165,124,284
381521,Male,40,1,46,0,1-2 Year,Yes,43185,26,42
381522,Female,72,1,28,1,1-2 Year,No,45285,122,297
381523,Female,25,1,11,1,< 1 Year,No,26711,152,236
381524,Female,52,1,39,0,1-2 Year,Yes,2630,154,281
381525,Male,28,1,15,1,< 1 Year,No,43046,152,93
381526,Male,46,1,28,1,1-2 Year,No,51602,60,242
381527,Female,24,1,29,1,< 1 Year,No,29608,152,212
381528,Male,59,1,8,1,1-2 Year,Yes,48134,124,158
381529,Female,56,1,30,1,1-2 Year,No,37469,152,272
381530,Male,43,1,8,0,1-2 Year,Yes,34609,124,34
381531,Female,28,1,47,0,1-2 Year,Yes,52450,26,224
381532,Female,68,1,28,0,> 2 Years,Yes,2630,157,296
381533,Male,50,1,28,1,1-2 Year,No,50890,61,96
381534,Female,24,1,29,1,< 1 Year,No,24600,152,292
381535,Female,41,1,28,0,1-2 Year,Yes,55230,3,75
381536,Male,48,1,33,0,1-2 Year,Yes,2630,124,141
381537,Male,31,1,28,0,< 1 Year,Yes,30467,31,160
381538,Male,22,1,28,0,1-2 Year,Yes,31219,124,253
381539,Female,42,1,28,0,1-2 Year,Yes,31218,124,277
381540,Male,25,1,15,1,< 1 Year,No,28136,152,178
381541,Female,25,1,8,1,< 1 Year,No,35310,152,250
381542,Female,69,1,41,0,1-2 Year,Yes,35457,26,292
381543,Male,42,1,41,0,1-2 Year,Yes,26604,26,215
381544,Female,45,1,28,1,1-2 Year,No,30473,154,11
381545,Male,59,1,28,1,1-2 Year,No,46770,122,264
381546,Male,42,1,41,0,> 2 Years,Yes,50666,26,85
381547,Male,39,1,28,0,1-2 Year,Yes,44185,124,237
381548,Male,45,1,8,0,1-2 Year,Yes,28278,124,208
381549,Male,37,1,20,0,1-2 Year,Yes,2630,124,44
381550,Male,26,1,11,1,< 1 Year,No,21798,152,174
381551,Female,40,1,46,0,1-2 Year,Yes,29457,156,34
381552,Male,21,1,2,0,< 1 Year,Yes,2630,152,38
381553,Male,24,1,26,1,< 1 Year,No,49288,151,182
381554,Female,58,1,26,0,1-2 Year,Yes,37414,26,268
381555,Female,27,1,15,1,< 1 Year,No,36279,152,234
381556,Female,33,1,33,0,< 1 Year,Yes,30824,152,169
381557,Male,20,1,47,0,< 1 Year,Yes,42739,160,154
381558,Male,37,1,28,1,1-2 Year,No,2630,23,201
381559,Female,24,1,12,0,< 1 Year,No,58354,152,290
381560,Female,29,1,28,0,1-2 Year,Yes,37295,157,202
381561,Female,22,1,33,1,< 1 Year,No,32070,152,21
381562,Female,66,1,8,1,1-2 Year,No,45663,7,32
381563,Male,21,1,46,0,< 1 Year,Yes,33809,152,187
381564,Male,59,1,5,1,1-2 Year,Yes,34858,26,280
381565,Male,70,1,28,0,1-2 Year,Yes,48139,13,111
381566,Male,22,1,28,1,< 1 Year,No,69521,152,196
381567,Male,58,1,28,1,1-2 Year,No,62160,26,116
381568,Male,69,1,41,0,1-2 Year,Yes,27646,26,255
381569,Male,27,1,28,1,< 1 Year,No,51355,152,131
381570,Female,69,1,28,0,1-2 Year,Yes,60244,26,236
381571,Male,69,1,41,1,1-2 Year,No,39767,26,257
381572,Female,26,1,27,0,< 1 Year,No,22110,152,126
381573,Female,23,1,41,0,< 1 Year,Yes,29240,152,46
381574,Male,53,1,28,0,1-2 Year,No,34550,26,170
381575,Male,45,1,43,1,1-2 Year,No,2630,124,66
381576,Male,42,1,47,0,1-2 Year,Yes,29764,124,149
381577,Female,24,1,28,1,< 1 Year,No,64007,152,39
381578,Male,42,1,48,0,1-2 Year,Yes,2630,7,35
381579,Female,25,1,36,0,< 1 Year,Yes,41635,160,31
381580,Male,42,1,28,1,1-2 Year,No,26013,124,282
381581,Male,26,1,36,1,< 1 Year,No,29850,152,205
381582,Male,25,1,8,1,< 1 Year,No,28107,152,130
381583,Male,21,1,22,1,< 1 Year,No,28013,152,177
381584,Male,43,1,0,0,1-2 Year,Yes,2630,59,217
381585,Female,50,1,6,1,1-2 Year,No,32305,152,295
381586,Female,65,1,28,0,1-2 Year,Yes,41131,13,96
381587,Male,22,1,13,0,< 1 Year,Yes,2630,152,55
381588,Female,44,1,47,0,1-2 Year,Yes,39161,26,28
381589,Female,26,1,41,1,< 1 Year,No,34956,152,193
381590,Female,28,1,12,1,1-2 Year,Yes,30584,156,131
381591,Male,52,1,31,0,1-2 Year,Yes,2630,26,161
381592,Female,21,1,30,0,< 1 Year,Yes,26600,152,296
381593,Male,51,1,28,0,1-2 Year,Yes,2630,26,142
381594,Female,65,1,46,1,1-2 Year,Yes,29959,11,139
381595,Female,80,1,3,1,1-2 Year,Yes,30321,26,50
381596,Female,35,1,35,0,1-2 Year,Yes,22622,156,223
381597,Male,53,1,51,0,1-2 Year,Yes,32695,163,250
381598,Male,43,1,20,0,1-2 Year,Yes,2630,124,12
381599,Female,54,1,8,1,1-2 Year,No,42800,26,210
381600,Male,32,1,37,1,< 1 Year,No,24006,152,198
381601,Female,28,1,41,1,< 1 Year,No,32175,152,94
381602,Female,21,1,35,1,< 1 Year,No,37542,160,156
381603,Female,34,1,11,0,1-2 Year,No,2630,154,193
381604,Female,41,1,18,0,1-2 Year,Yes,36817,124,14
381605,Female,52,1,29,1,1-2 Year,No,25302,152,94
381606,Male,56,1,28,0,1-2 Year,Yes,2630,26,242
381607,Male,44,1,14,0,1-2 Year,Yes,33253,124,181
381608,Male,68,1,28,0,1-2 Year,Yes,43381,30,12
381609,Male,55,1,43,0,1-2 Year,Yes,42118,124,228
381610,Female,25,1,8,1,< 1 Year,No,31240,152,39
381611,Male,22,1,6,0,< 1 Year,Yes,36108,152,198
381612,Female,71,1,28,0,1-2 Year,Yes,30062,26,128
381613,Female,22,1,32,1,< 1 Year,No,30112,152,178
381614,Female,53,1,8,0,1-2 Year,Yes,2630,157,215
381615,Female,20,1,28,0,< 1 Year,Yes,20803,160,19
381616,Male,43,1,8,1,1-2 Year,No,55671,124,56
381617,Female,23,1,40,0,< 1 Year,No,36902,152,103
381618,Female,29,1,21,1,< 1 Year,No,29000,152,289
381619,Male,23,1,42,0,< 1 Year,Yes,26074,152,236
381620,Male,22,1,29,0,< 1 Year,Yes,28333,152,104
381621,Male,44,1,28,1,1-2 Year,No,29963,124,94
381622,Female,56,1,46,1,1-2 Year,No,22581,152,38
381623,Female,42,1,41,0,1-2 Year,Yes,19961,29,283
381624,Male,23,1,28,1,< 1 Year,No,34672,152,195
381625,Male,25,1,8,1,< 1 Year,No,43308,152,254
381626,Male,42,1,28,1,1-2 Year,No,59252,26,148
